Autor;Emenda;UO (Ajustada);Funcional;Ação + Subtítulo;Valor aprovado;Empenhado;Depesa Executada;Pago
ADELMO CARNEIRO LEÃO;30330017-2016;HOSPITAL UNIVERSITÁRIO DA UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO;12.302.2080.20RX.3165;NO MUNICÍPIO DE UBERABA - MG;0;0;0;1134560
ADELMO CARNEIRO LEÃO;30330002-2016;FUNDO NACIONAL DE SAÚDE;10.301.2015.8581.0031;NO ESTADO DE MINAS GERAIS;0;0;0;199990
ADELMO CARNEIRO LEÃO;30330003-2016;FUNDO NACIONAL DE SAÚDE;10.301.2015.8581.0031;NO ESTADO DE MINAS GERAIS;0;0;0;499985
ADELMO CARNEIRO LEÃO;30330004-2016;FUNDO NACIONAL DE SAÚDE;10.301.2015.8581.0031;NO ESTADO DE MINAS GERAIS;0;0;0;850000
ADELSON BARRETO;30340005-2017;FUNDO NACIONAL DE SAÚDE;10.302.2015.6148.0001;NACIONAL;0;400000;0;0
ADELSON BARRETO;30340006-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.0028;NO ESTADO DE SERGIPE;0;4609769;0;0
ADELSON BARRETO;30340002-2016;FUNDO NACIONAL DE SAÚDE;10.302.2015.8535.0028;NO ESTADO DE SERGIPE;0;0;0;591029
ADELSON BARRETO;30340003-2016;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.0028;NO ESTADO DE SERGIPE;0;0;0;967648
ADEMIR CAMILO;20750001-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.0031;NO ESTADO DE MINAS GERAIS;1070000;2922953;0;0
ADEMIR CAMILO;20750002-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.2351;NO MUNICÍPIO DE ÁGUAS FORMOSAS - MG;0;800000;0;0
ADEMIR CAMILO;20750004-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.2402;NO MUNICÍPIO DE BARÃO DE MONTE ALTO - MG;0;600000;0;0
ADEMIR CAMILO;20750005-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.2412;NO MUNICÍPIO DE BERTÓPOLIS - MG;-70000;730000;0;0
ADEMIR CAMILO;20750006-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.2484;NO MUNICÍPIO DE CARAÍ - MG;-1000000;0;0;0
ADEMIR CAMILO;20750007-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.2524;NO MUNICÍPIO DE CLARO DOS POÇÕES - MG;0;500000;0;0
ADEMIR CAMILO;20750009-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.2795;NO MUNICÍPIO DE MAMONAS - MG;0;600000;0;0
ADEMIR CAMILO;20750008-2016;MINISTÉRIO DAS COMUNICAÇÕES;24.126.2025.212N.0001;NACIONAL;0;0;0;23670
ADEMIR CAMILO;20750015-2016;FUNDO NACIONAL DE SAÚDE;10.302.2015.8535.0031;NO ESTADO DE MINAS GERAIS;0;0;0;199990
ADEMIR CAMILO;20750016-2016;FUNDO NACIONAL DE SAÚDE;10.302.2015.8535.3132;NO MUNICÍPIO DE SETE LAGOAS - MG;0;0;0;200000
ADILTON SACHETTI;30350002-2017;FUNDO NACIONAL DE SAÚDE;10.302.2015.6148.0001;NACIONAL;0;200000;0;0
ADILTON SACHETTI;30350003-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.0051;NO ESTADO DE MATO GROSSO;0;500000;0;0
ADILTON SACHETTI;30350004-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.0051;NO ESTADO DE MATO GROSSO;0;1200000;0;0
ADILTON SACHETTI;30350005-2017;FUNDO NACIONAL DE SAÚDE;10.302.2015.8535.7428;BENEFICÊNCIA PORTUGUESA (REAL E BENEMÉRITA ASSOCIAÇÃO PORTUGUESA DE BENEFICÊNCIA) - NO ESTADO DE SÃO PAULO;0;600000;0;0
ADILTON SACHETTI;30350010-2016;SUPERINTENDÊNCIA DO DESENVOLVIMENTO DA AMAZÔNIA - SUDAM;19.691.2029.8902.0051;NO ESTADO DE MATO GROSSO;0;0;0;300000
AÉCIO NEVES;28890002-2017;FUNDO NACIONAL DE SAÚDE;10.302.2015.8535.0031;NO ESTADO DE MINAS GERAIS;0;300000;0;0
AÉCIO NEVES;28890005-2017;FUNDO NACIONAL DE SAÚDE;10.301.2015.8581.3166;NO MUNICÍPIO DE UBERLÂNDIA - MG;0;300000;0;0
AÉCIO NEVES;28890006-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.0031;NO ESTADO DE MINAS GERAIS;0;5922953;0;0
AÉCIO NEVES;28890003-2015;MINISTÉRIO DAS CIDADES;15.451.2054.1D73.0031;NO ESTADO DE MINAS GERAIS;0;0;0;245850
AELTON FREITAS;20180006-2017;FUNDO NACIONAL DE SAÚDE;10.301.2015.8581.0031;NO ESTADO DE MINAS GERAIS;0;1157500;0;0
AELTON FREITAS;20180007-2017;FUNDO NACIONAL DE SAÚDE;10.302.2015.8535.0031;NO ESTADO DE MINAS GERAIS;0;299800;0;0
AELTON FREITAS;20180008-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.0031;NO ESTADO DE MINAS GERAIS;0;100000;0;0
AELTON FREITAS;20180009-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.0035;NO ESTADO DE SÃO PAULO;0;200000;0;0
AELTON FREITAS;20180010-2017;FUNDO NACIONAL DE SAÚDE;10.302.2015.6148.0001;NACIONAL;0;200000;0;0
AELTON FREITAS;20180012-2017;MINISTÉRIO DO TURISMO;23.695.2076.20Y3.0031;NO ESTADO DE MINAS GERAIS;-150000;0;0;0
AELTON FREITAS;20180013-2017;MINISTÉRIO DO TURISMO;23.695.2076.10V0.0031;NO ESTADO DE MINAS GERAIS;150000;0;0;0
AELTON FREITAS;20180004-2016;COMPANHIA DE DESENVOLVIMENTO DOS VALES DO SÃO FRANCISCO E DO PARNAÍBA - CODEVASF;18.544.2084.1851.0031;NO ESTADO DE MINAS GERAIS;0;0;0;2195
AELTON FREITAS;20180007-2016;UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO;12.364.2080.8282.7178;CAMPUS ITURAMA - NO ESTADO DE MINAS GERAIS;0;0;0;15369
AELTON FREITAS;20180002-2015;MINISTÉRIO DAS CIDADES;15.451.2054.1D73.0031;NO ESTADO DE MINAS GERAIS;0;0;0;368775
AFONSO FLORENCE;28710004-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.0029;NO ESTADO DA BAHIA;0;5370000;0;0
AFONSO FLORENCE;28710001-2016;FUNDO NACIONAL DE SAÚDE;10.301.2015.8581.0029;NO ESTADO DA BAHIA;0;0;0;440850
AFONSO FLORENCE;28710002-2016;FUNDO NACIONAL DE SAÚDE;10.302.2015.8535.0029;NO ESTADO DA BAHIA;0;0;0;697630
AFONSO FLORENCE;28710001-2015;MINISTÉRIO DAS CIDADES;15.451.2054.1D73.0029;NO ESTADO DA BAHIA;0;0;0;885060
AFONSO HAMM;20980008-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.0043;NO ESTADO DO RIO GRANDE DO SUL;0;200000;0;0
AFONSO HAMM;20980010-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.0043;NO ESTADO DO RIO GRANDE DO SUL;0;2859769;0;0
AFONSO HAMM;20980001-2017;FUNDO NACIONAL DE SAÚDE;10.302.2015.8535.0043;NO ESTADO DO RIO GRANDE DO SUL;0;399950;0;0
AFONSO HAMM;20980002-2017;FUNDO NACIONAL DE SAÚDE;10.301.2015.8581.0043;NO ESTADO DO RIO GRANDE DO SUL;0;716955;0;0
AFONSO HAMM;20980001-2016;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.0043;NO ESTADO DO RIO GRANDE DO SUL;0;0;0;699999
AFONSO HAMM;20980001-2016;FUNDO NACIONAL DE SAÚDE;10.302.2015.8535.0043;NO ESTADO DO RIO GRANDE DO SUL;0;0;0;296750
AFONSO HAMM;20980005-2016;FUNDO NACIONAL DE SAÚDE;10.301.2015.8581.4885;NO MUNICÍPIO DE GRAMADO - RS;0;0;0;92000
AFONSO HAMM;20980007-2016;FUNDO NACIONAL DE SAÚDE;10.301.2015.8581.0043;NO ESTADO DO RIO GRANDE DO SUL;0;0;0;100000
AFONSO HAMM;20980009-2016;FUNDO NACIONAL DE SAÚDE;10.302.2015.8535.0043;NO ESTADO DO RIO GRANDE DO SUL;0;0;0;150000
AFONSO HAMM;20980010-2016;MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO;20.608.2077.20ZV.0043;NO ESTADO DO RIO GRANDE DO SUL;0;0;0;556165
AFONSO HAMM;20980014-2016;MINISTÉRIO DAS CIDADES;15.451.2054.1D73.0043;NO ESTADO DO RIO GRANDE DO SUL;0;0;0;251784
AFONSO HAMM;20980001-2015;MINISTÉRIO DO TURISMO;23.695.2076.10V0.0043;NO ESTADO DO RIO GRANDE DO SUL;0;0;0;124800
AFONSO HAMM;20980007-2015;MINISTÉRIO DAS CIDADES;15.451.2054.1D73.0043;NO ESTADO DO RIO GRANDE DO SUL;0;0;0;75535
AFONSO HAMM;20980008-2015;FUNDO NACIONAL DE ASSISTÊNCIA SOCIAL;08.244.2037.2B30.7034;REFORMA DO CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL (CRAS) - NO MUNICÍPIO DE SÃO FRANCISCO DE ASSIS - RS;0;0;0;175000
AFONSO MOTTA;30200001-2017;FUNDO NACIONAL DE SAÚDE;10.301.2015.8581.0043;NO ESTADO DO RIO GRANDE DO SUL;0;2469269;0;0
AFONSO MOTTA;30200002-2017;FUNDO NACIONAL DE SAÚDE;10.302.2015.8535.0043;NO ESTADO DO RIO GRANDE DO SUL;0;849974;0;0
AFONSO MOTTA;30200004-2016;MINISTÉRIO DO ESPORTE;27.812.2035.5450.0043;NO ESTADO DO RIO GRANDE DO SUL;0;0;0;48750
AFONSO MOTTA;30200007-2016;FUNDO NACIONAL DE SAÚDE;10.301.2015.8581.0043;NO ESTADO DO RIO GRANDE DO SUL;0;0;0;1045080
AFONSO MOTTA;30200008-2016;FUNDO NACIONAL DE SAÚDE;10.302.2015.8535.0043;NO ESTADO DO RIO GRANDE DO SUL;0;0;0;397100
AGUINALDO RIBEIRO;27110005-2017;FUNDO NACIONAL DE SAÚDE;10.301.2015.8581.0025;NO ESTADO DA PARAÍBA;0;4099920;0;0
AGUINALDO RIBEIRO;27110006-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.0025;NO ESTADO DA PARAÍBA;0;1204953;0;0
AGUINALDO RIBEIRO;27110001-2015;MINISTÉRIO DAS CIDADES;15.451.2054.1D73.0025;NO ESTADO DA PARAÍBA;0;0;0;245850
ALAN RICK;30360002-2017;FUNDO NACIONAL DE SAÚDE;10.301.2015.8581.0166;NO MUNICÍPIO DE RIO BRANCO - AC;0;400000;0;0
ALAN RICK;30360003-2017;FUNDO NACIONAL DE SAÚDE;10.301.2015.8581.0012;NO ESTADO DO ACRE;0;200000;0;0
ALAN RICK;30360004-2017;FUNDO NACIONAL DE SAÚDE;10.302.2015.8535.0012;NO ESTADO DO ACRE;0;450000;0;0
ALAN RICK;30360009-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.0012;NO ESTADO DO ACRE;0;2000000;0;0
ALBERTO FILHO;26940002-2017;COMPANHIA DE DESENVOLVIMENTO DOS VALES DO SÃO FRANCISCO E DO PARNAÍBA - CODEVASF;18.544.2084.109I.0667;NO MUNICÍPIO DE MIRANDA DO NORTE - MA;0;1900000;0;0
ALBERTO FILHO;26940008-2017;COMPANHIA DE DESENVOLVIMENTO DOS VALES DO SÃO FRANCISCO E DO PARNAÍBA - CODEVASF;15.244.2029.7K66.0740;NO MUNICÍPIO DE SÃO RAIMUNDO DO DOCA BEZERRA - MA;0;475000;0;0
ALBERTO FILHO;26940012-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.0556;NO MUNICÍPIO DE ALTO ALEGRE DO PINDARÉ - MA;0;1000000;0;0
ALBERTO FILHO;26940013-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.0566;NO MUNICÍPIO DE ARARI - MA;0;500000;0;0
ALBERTO FILHO;26940014-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.0667;NO MUNICÍPIO DE MIRANDA DO NORTE - MA;0;3000000;0;0
ALBERTO FILHO;26940001-2016;COMPANHIA DE DESENVOLVIMENTO DOS VALES DO SÃO FRANCISCO E DO PARNAÍBA - CODEVASF;15.244.2029.7K66.0568;NO MUNICÍPIO DE BACABAL - MA;0;0;0;3918
ALBERTO FILHO;26940013-2016;FUNDO NACIONAL DE SAÚDE;10.302.2015.20B0.0568;NO MUNICÍPIO DE BACABAL - MA;0;0;0;200000
ALBERTO FRAGA;36300010-2017;FUNDO NACIONAL DE SAÚDE;10.302.2015.6148.0001;NACIONAL;0;3000000;0;0
ALBERTO FRAGA;36300003-2017;FUNDO NACIONAL ANTIDROGAS - FUNAD;14.422.2085.20IE.7082;POLÍCIA MILITAR - NO DISTRITO FEDERAL;-300000;0;0;0
ALBERTO FRAGA;36300003-2017;FUNDO NACIONAL DE SEGURANÇA PÚBLICA;06.181.2081.20ID.7114;POLÍCIA MILITAR - NO DISTRITO FEDERAL;300000;0;0;0
ALCEU MOREIRA;28580010-2017;FUNDO NACIONAL DE SAÚDE;10.301.2015.8581.0043;NO ESTADO DO RIO GRANDE DO SUL;0;2247137;0;0
ALCEU MOREIRA;28580011-2017;FUNDO NACIONAL DE SAÚDE;10.302.2015.8535.0043;NO ESTADO DO RIO GRANDE DO SUL;0;325000;0;0
ALCEU MOREIRA;28580013-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.0043;NO ESTADO DO RIO GRANDE DO SUL;0;906477;0;0
ALCEU MOREIRA;28580002-2015;MINISTÉRIO DO ESPORTE;27.812.2035.5450.0043;NO ESTADO DO RIO GRANDE DO SUL;0;0;0;230156
ALCEU MOREIRA;28580005-2015;FUNDO NACIONAL DE ASSISTÊNCIA SOCIAL;08.244.2037.2B31.0043;NO ESTADO DO RIO GRANDE DO SUL;0;0;0;100000
ALCEU MOREIRA;28580013-2015;MINISTÉRIO DO TURISMO;23.695.2076.10V0.0043;NO ESTADO DO RIO GRANDE DO SUL;0;0;0;121875
ALESSANDRO MOLON;27760024-2017;UNIVERSIDADE FEDERAL FLUMINENSE;12.364.2080.20RK.0033;NO ESTADO DO RIO DE JANEIRO;0;150000;0;0
ALESSANDRO MOLON;27760018-2017;UNIVERSIDADE FEDERAL FLUMINENSE;12.364.2080.8282.0033;NO ESTADO DO RIO DE JANEIRO;0;88068;0;0
ALESSANDRO MOLON;27760019-2017;FUNDO NACIONAL DE SAÚDE;10.301.2015.8581.0033;NO ESTADO DO RIO DE JANEIRO;-300000;549880;0;0
ALESSANDRO MOLON;27760019-2017;FUNDO NACIONAL DE SAÚDE;10.302.2015.8535.0033;NO ESTADO DO RIO DE JANEIRO;300000;0;0;0
ALESSANDRO MOLON;27760021-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.0033;NO ESTADO DO RIO DE JANEIRO;0;650000;0;0
ALESSANDRO MOLON;27760008-2017;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;12.364.2080.20GK.0033;NO ESTADO DO RIO DE JANEIRO;0;7800;0;0
ALESSANDRO MOLON;27760009-2016;FUNDAÇÃO OSWALDO CRUZ;10.572.2015.147J.0033;NO ESTADO DO RIO DE JANEIRO;0;0;0;1237
ALESSANDRO MOLON;27760010-2016;INSTITUTO BRASILEIRO DE MUSEUS;13.392.2027.20ZF.0033;NO ESTADO DO RIO DE JANEIRO;0;0;0;7713
ALESSANDRO MOLON;27760012-2016;COMPLEXO HOSPITALAR E DE SAÚDE DA UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;12.302.2080.4086.0033;NO ESTADO DO RIO DE JANEIRO;0;0;0;42150
ALESSANDRO MOLON;27760016-2016;FUNDO NACIONAL DE SAÚDE;10.302.2015.8535.0033;NO ESTADO DO RIO DE JANEIRO;0;0;0;2459900
ALESSANDRO MOLON;27760017-2016;FUNDO NACIONAL DE SAÚDE;10.302.2015.8535.0033;NO ESTADO DO RIO DE JANEIRO;0;0;0;263620
ALESSANDRO MOLON;27760019-2016;UNIVERSIDADE FEDERAL FLUMINENSE;12.364.2080.8282.0033;NO ESTADO DO RIO DE JANEIRO;0;0;0;134629
ALEX CANZIANI;36800013-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.0041;NO ESTADO DO PARANÁ;0;5954733;0;0
ALEX CANZIANI;36800013-2015;MINISTÉRIO DO ESPORTE;27.812.2035.5450.0041;NO ESTADO DO PARANÁ;0;0;0;195000
ALEX MANENTE;30370002-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.0035;NO ESTADO DE SÃO PAULO;0;4622953;0;0
ALEXANDRE BALDY;30380001-2017;SUPERINTENDÊNCIA DO DESENVOLVIMENTO DO CENTRO-OESTE - SUDECO;19.691.2029.8902.0052;NO ESTADO DE GOIÁS;0;700000;0;0
ALEXANDRE BALDY;30380002-2017;FUNDO NACIONAL DE SAÚDE;10.302.2015.8535.0052;NO ESTADO DE GOIÁS;225000;0;0;0
ALEXANDRE BALDY;30380002-2017;MINISTÉRIO DO TURISMO;23.695.2076.20Y3.0052;NO ESTADO DE GOIÁS;-225000;0;125000;125000
ALEXANDRE BALDY;30380005-2017;FUNDO NACIONAL DE SAÚDE;10.301.2015.8581.0052;NO ESTADO DE GOIÁS;-7462;482700;0;0
ALEXANDRE BALDY;30380005-2017;FUNDO NACIONAL DE SAÚDE;10.302.2015.8535.0052;NO ESTADO DE GOIÁS;7462;0;0;0
ALEXANDRE BALDY;30380006-2017;FUNDO NACIONAL DE SAÚDE;10.302.2015.8535.0052;NO ESTADO DE GOIÁS;0;279960;0;0
ALEXANDRE BALDY;30380007-2017;FUNDO NACIONAL DE SAÚDE;10.302.2015.8535.8838;SANTA CASA DE MISERICÓRDIA DE ANÁPOLIS - NO ESTADO DE GOIÁS;0;600000;0;0
ALEXANDRE BALDY;30380008-2017;FUNDO NACIONAL DE SAÚDE;10.301.2015.8581.0052;NO ESTADO DE GOIÁS;15000;0;0;0
ALEXANDRE BALDY;30380008-2017;FUNDO NACIONAL DE SAÚDE;10.302.2015.8535.0052;NO ESTADO DE GOIÁS;-15000;0;0;0
ALEXANDRE BALDY;30380009-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.0052;NO ESTADO DE GOIÁS;-6816;452953;0;0
ALEXANDRE BALDY;30380009-2017;FUNDO NACIONAL DE SAÚDE;10.301.2015.8581.0052;NO ESTADO DE GOIÁS;5000;0;0;0
ALEXANDRE BALDY;30380009-2017;FUNDO NACIONAL DE SAÚDE;10.302.2015.8535.0052;NO ESTADO DE GOIÁS;1816;0;0;0
ALEXANDRE BALDY;30380002-2016;MINISTÉRIO DAS CIDADES;15.451.2054.1D73.0052;NO ESTADO DE GOIÁS;0;0;0;122925
ALEXANDRE LEITE;27960001-2017;FUNDO NACIONAL DE SAÚDE;10.301.2015.8581.0035;NO ESTADO DE SÃO PAULO;1984415;1339857;0;0
ALEXANDRE LEITE;27960002-2017;FUNDO NACIONAL DE SAÚDE;10.302.2015.8535.0035;NO ESTADO DE SÃO PAULO;-1984415;0;0;0
ALEXANDRE LEITE;27960003-2017;MINISTÉRIO DAS CIDADES;15.451.2054.1D73.0035;NO ESTADO DE SÃO PAULO;3100000;1229250;0;0
ALEXANDRE LEITE;27960004-2017;MINISTÉRIO DAS CIDADES;17.512.2068.10S5.0035;NO ESTADO DE SÃO PAULO;-3100000;245850;0;0
ALEXANDRE LEITE;27960006-2016;MINISTÉRIO DAS CIDADES;15.451.2054.1D73.3931;NO MUNICÍPIO DE SÃO ROQUE - SP;0;0;0;1024536
ALEXANDRE SERFIOTIS;30390001-2017;FUNDO NACIONAL DE SAÚDE;10.302.2015.8535.3341;NO MUNICÍPIO DO RIO DE JANEIRO - RJ;300000;0;0;0
ALEXANDRE SERFIOTIS;30390005-2017;FUNDO NACIONAL DE SAÚDE;10.301.2015.8581.3315;NO MUNICÍPIO DE MENDES - RJ;0;149940;0;0
ALEXANDRE SERFIOTIS;30390006-2017;FUNDO NACIONAL DE SAÚDE;10.301.2015.8581.3332;NO MUNICÍPIO DE PORTO REAL - RJ;200000;0;0;0
ALEXANDRE SERFIOTIS;30390006-2017;FUNDO NACIONAL DE SAÚDE;10.302.2015.8535.3321;NO MUNICÍPIO DE NITERÓI - RJ;-200000;0;0;0
ALEXANDRE SERFIOTIS;30390008-2017;FUNDO NACIONAL DE SAÚDE;10.301.2015.8581.0033;NO ESTADO DO RIO DE JANEIRO;-450000;853942;0;0
ALEXANDRE SERFIOTIS;30390008-2017;FUNDO NACIONAL DE SAÚDE;10.301.2015.8581.3332;NO MUNICÍPIO DE PORTO REAL - RJ;150000;0;0;0
ALEXANDRE SERFIOTIS;30390009-2017;FUNDO NACIONAL DE SAÚDE;10.302.2015.8535.0033;NO ESTADO DO RIO DE JANEIRO;-300000;0;0;0
ALEXANDRE SERFIOTIS;30390010-2017;FUNDO NACIONAL DE SAÚDE;10.302.2015.6148.0001;NACIONAL;0;100000;0;0
ALEXANDRE SERFIOTIS;30390011-2017;FUNDO NACIONAL DE SAÚDE;10.302.2015.8535.0033;NO ESTADO DO RIO DE JANEIRO;300000;171730;0;0
ALEXANDRE SERFIOTIS;30390019-2017;FUNDO NACIONAL DE SAÚDE;10.302.2015.8535.3341;NO MUNICÍPIO DO RIO DE JANEIRO - RJ;1000000;0;0;0
ALEXANDRE SERFIOTIS;30390019-2017;FUNDO NACIONAL DE SAÚDE;10.302.2015.8933.3281;NO MUNICÍPIO DE BARRA MANSA - RJ;-1000000;0;0;0
ALEXANDRE SERFIOTIS;30390021-2016;UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO;12.364.2080.20RK.0033;NO ESTADO DO RIO DE JANEIRO;0;0;0;2513
ALEXANDRE VALLE;30400003-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.3317;NO MUNICÍPIO DE MIGUEL PEREIRA - RJ;0;500000;0;0
ALEXANDRE VALLE;30400004-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.3354;NO MUNICÍPIO DE SAQUAREMA - RJ;0;1000000;0;0
ALEXANDRE VALLE;30400006-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.3316;NO MUNICÍPIO DE MESQUITA - RJ;0;2500000;0;0
ALEXANDRE VALLE;30400007-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.3299;NO MUNICÍPIO DE ENGENHEIRO PAULO DE FRONTIN - RJ;0;1000000;0;0
ALEXANDRE VALLE;30400010-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.3348;NO MUNICÍPIO DE SÃO JOÃO DE MERITI - RJ;0;1000000;0;0
ALEXANDRE VALLE;30400012-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.3345;NO MUNICÍPIO DE SÃO FIDÉLIS - RJ;0;1000000;0;0
ALEXANDRE VALLE;30400013-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.3306;NO MUNICÍPIO DE ITAPERUNA - RJ;0;722953;0;0
